symbol,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,volume_ratio,support,resistance,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,signal,breakout
OIL,488.25,-0.32,56.27,483.92,470.25,453.96,0.35,458.7,514.45,465.58,488.25,454.11,539.46,573.59,607.73,1.5,4.5,AVOID,False
PNB,116.01,-0.63,52.79,115.84,113.82,112.78,0.52,113.16,119.1,114.86,116.01,112.03,121.98,125.96,129.95,1.5,4.5,AVOID,False
TECHM,1594.7,3.48,52.39,1580.83,1568.26,1519.2,1.05,1498.0,1649.0,1520.47,1594.7,1483.02,1762.22,1873.9,1985.58,1.5,4.5,AVOID,False
TATAINVEST,723.75,11.19,73.94,650.09,656.3,674.35,12.13,616.1,750.5,625.34,723.75,609.94,894.47,1008.28,1122.09,1.5,4.0,AVOID,False
APLAPOLLO,2139.4,-0.65,51.93,2150.91,2054.32,1938.25,0.34,2075.1,2281.0,2106.23,2139.4,2054.35,2266.98,2352.03,2437.08,1.5,3.5,AVOID,False
APOLLOHOSP,8803.0,-0.37,49.86,8810.35,8748.46,8219.1,0.52,8591.5,9024.0,8720.37,8803.0,8505.58,9249.12,9546.54,9843.95,1.5,3.5,AVOID,False
CGPOWER,874.5,-3.8,45.25,893.99,889.59,828.66,0.79,860.2,931.0,873.1,874.5,838.21,928.93,965.21,1001.5,1.5,3.5,AVOID,False
COALINDIA,421.45,-1.16,55.06,416.83,420.14,425.94,0.34,395.8,436.3,401.74,421.45,391.84,465.86,495.47,525.08,1.5,3.5,AVOID,False
DABUR,387.85,3.15,46.16,386.99,403.28,447.58,3.2,368.05,406.8,373.57,387.85,364.37,423.07,446.55,470.03,1.5,3.5,AVOID,False
ETERNAL,318.25,-1.62,49.1,321.4,308.35,287.58,0.19,315.55,332.95,318.25,318.25,307.0,335.12,346.37,357.62,1.5,3.5,AVOID,False
GRASIM,3195.2,-2.64,41.14,3280.3,3228.32,3023.39,0.61,3188.0,3371.0,3195.2,3195.2,3095.29,3345.07,3444.98,3544.89,1.5,3.5,AVOID,False
HDFCBANK,718.9,1.5,49.7,714.16,734.93,811.9,1.36,681.9,739.75,692.13,718.9,675.08,784.63,828.45,872.27,1.5,3.5,AVOID,False
HAL,4737.0,-3.43,42.57,4871.55,4759.59,4537.04,0.53,4707.0,5149.9,4737.0,4737.0,4564.28,4996.09,5168.81,5341.54,1.5,3.5,AVOID,False
MOTILALOFS,998.3,-2.75,51.49,1004.34,963.75,897.54,0.27,930.05,1060.2,944.0,998.3,920.75,1114.63,1192.18,1269.73,1.5,3.5,AVOID,False
MCX,3196.9,-2.41,52.18,3211.17,3060.49,2682.27,0.56,2916.0,3400.0,2959.74,3196.9,2886.84,3661.99,3972.05,4282.11,1.5,3.5,AVOID,False
POLICYBZR,1778.1,-1.07,51.06,1790.41,1726.53,1676.65,0.53,1721.1,1875.0,1746.92,1778.1,1703.89,1889.42,1963.63,2037.84,1.5,3.5,AVOID,False
PERSISTENT,5548.5,0.59,50.42,5565.0,5434.23,5342.42,1.18,5370.5,5910.0,5451.06,5548.5,5306.42,5911.62,6153.69,6395.77,1.5,3.5,AVOID,False
MOTHERSON,162.04,-1.47,48.56,163.59,158.36,138.0,0.56,159.92,173.27,162.04,162.04,156.12,170.92,176.84,182.76,1.5,3.5,AVOID,False
SIEMENS,3838.0,-3.01,39.6,3955.91,3874.91,3586.9,0.53,3818.1,4149.4,3838.0,3838.0,3692.38,4056.42,4202.04,4347.65,1.5,3.5,AVOID,False
SWIGGY,278.75,0.2,51.32,278.07,275.16,300.86,0.28,261.35,293.0,265.27,278.75,258.74,308.77,328.78,348.8,1.5,3.5,AVOID,False
TATACAP,355.85,-1.94,40.08,365.57,360.58,343.42,0.65,354.0,378.0,355.85,355.85,344.21,373.31,384.94,396.58,1.5,3.5,AVOID,False
TCS,2298.3,4.43,50.77,2286.9,2292.4,2500.71,1.55,2185.5,2399.3,2218.28,2298.3,2163.64,2500.28,2634.94,2769.59,1.5,3.5,AVOID,False
TITAN,4895.5,-2.28,39.31,5012.94,4885.26,4410.33,0.6,4885.5,5186.7,4895.5,4895.5,4776.59,5073.86,5192.77,5311.68,1.5,3.5,AVOID,False
TORNTPHARM,4884.0,-1.64,46.31,4938.92,4881.0,4449.65,0.96,4823.0,5066.0,4884.0,4884.0,4728.46,5117.31,5272.84,5428.38,1.5,3.5,AVOID,False
UNIONBANK,176.55,-0.87,39.46,182.82,179.81,170.26,0.33,175.53,192.33,176.55,176.55,169.76,186.73,193.52,200.31,1.5,3.5,AVOID,False
ABB,7120.0,-2.12,34.52,7415.04,7366.33,6667.99,0.82,7036.5,7760.0,7120.0,7120.0,6863.11,7505.33,7762.22,8019.11,1.5,3.0,AVOID,False
AUBANK,1039.8,-1.8,39.36,1070.39,1059.98,986.74,0.23,1033.2,1144.1,1039.8,1039.8,1005.87,1090.69,1124.62,1158.54,1.5,3.0,AVOID,False
ADANIENT,2988.9,-2.32,47.98,3008.65,2996.7,2697.88,0.35,2830.5,3173.7,2872.96,2988.9,2802.2,3268.96,3455.66,3642.37,1.5,3.0,AVOID,False
ABCAPITAL,384.9,-2.56,37.46,400.88,398.04,365.14,0.55,384.4,416.45,384.9,384.9,370.68,406.23,420.46,434.68,1.5,3.0,AVOID,False
BSE,3365.0,-0.56,48.54,3358.98,3474.83,3304.88,0.56,3131.5,3474.0,3178.47,3365.0,3100.18,3762.22,4027.04,4291.85,1.5,3.0,AVOID,False
BAJFINANCE,1014.7,-1.91,32.82,1057.69,1050.93,1001.3,0.58,1010.5,1107.0,1014.7,1014.7,982.93,1062.36,1094.14,1125.91,1.5,3.0,AVOID,False
COCHINSHIP,1350.0,-2.24,32.32,1478.29,1475.94,1530.75,1.23,1336.0,1577.9,1350.0,1350.0,1281.69,1452.47,1520.79,1589.1,1.5,3.0,AVOID,False
EICHERMOT,7496.0,-0.45,32.19,7792.91,7753.94,7420.22,0.52,7440.0,8165.0,7496.0,7496.0,7281.18,7818.22,8033.04,8247.85,1.5,3.0,AVOID,False
FEDERALBNK,342.1,-0.7,43.58,347.53,343.71,302.71,0.29,337.6,364.2,342.1,342.1,332.41,356.63,366.32,376.01,1.5,3.0,AVOID,False
GAIL,170.79,-1.63,43.31,173.86,173.16,170.06,0.54,170.11,177.5,170.79,170.79,165.9,178.12,183.01,187.9,1.5,3.0,AVOID,False
HINDALCO,972.1,-0.96,36.96,1013.58,1012.31,964.37,0.43,966.2,1061.8,972.1,972.1,937.11,1024.58,1059.57,1094.55,1.5,3.0,AVOID,False
INDHOTEL,723.6,0.71,49.99,723.04,720.6,706.97,1.08,701.55,737.9,712.07,723.6,694.53,767.2,796.26,825.33,1.5,3.0,AVOID,False
INDUSTOWER,383.65,-1.12,52.41,379.3,385.85,399.88,0.28,367.35,390.85,372.86,383.65,363.68,413.61,433.58,453.56,1.5,3.0,AVOID,False
INDUSINDBK,965.7,-1.28,37.97,997.73,993.47,922.01,0.76,960.4,1022.0,965.7,965.7,935.14,1011.53,1042.09,1072.65,1.5,3.0,AVOID,False
JSWSTEEL,1242.3,-1.79,35.97,1295.41,1286.13,1237.31,0.37,1237.0,1351.0,1242.3,1242.3,1203.1,1301.09,1340.29,1379.49,1.5,3.0,AVOID,False
LTF,299.15,-3.22,38.25,312.03,310.07,292.1,0.35,299.15,327.3,299.15,299.15,286.46,318.18,330.87,343.56,1.5,3.0,AVOID,False
LENSKART,692.2,1.53,72.38,662.27,616.66,529.21,0.28,606.85,703.5,615.95,692.2,600.78,829.33,920.75,1012.16,1.5,3.0,AVOID,False
LODHA,1082.7,-3.06,31.51,1193.56,1168.73,1074.33,0.69,1075.5,1306.9,1082.7,1082.7,1016.06,1182.66,1249.3,1315.94,1.5,3.0,AVOID,False
M&MFIN,345.3,-3.05,32.43,370.07,364.72,337.77,0.32,345.3,397.5,345.3,345.3,328.2,370.96,388.06,405.17,1.5,3.0,AVOID,False
MAXHEALTH,1033.4,-0.41,52.12,1022.1,1037.8,1056.9,0.69,980.3,1048.0,995.0,1033.4,970.5,1127.75,1190.66,1253.56,1.5,3.0,AVOID,False
PIDILITIND,1542.4,-1.56,33.71,1611.9,1609.39,1534.13,0.31,1538.7,1687.7,1542.4,1542.4,1495.48,1612.78,1659.71,1706.63,1.5,3.0,AVOID,False
TVSMOTOR,4065.0,-1.45,37.49,4201.83,4099.88,3779.92,0.31,4052.9,4484.5,4065.0,4065.0,3913.76,4291.86,4443.09,4594.33,1.5,3.0,AVOID,False
TMCV,431.05,-0.81,36.48,452.96,445.31,416.57,0.32,425.35,487.8,431.05,431.05,411.1,460.98,480.94,500.89,1.5,3.0,AVOID,False
BHEL,422.05,-2.08,49.42,424.9,415.56,355.06,0.59,408.15,442.65,414.27,422.05,404.07,449.02,467.0,484.99,1.5,2.5,AVOID,False
GVT&D,4324.6,-4.91,47.29,4405.89,4418.94,4086.14,0.48,4025.0,4825.0,4085.37,4324.6,3984.75,4834.38,5174.23,5514.08,1.5,2.5,AVOID,False
GLENMARK,2380.1,-1.62,48.86,2405.57,2342.82,2214.49,0.34,2222.5,2537.6,2255.84,2380.1,2200.28,2649.84,2829.66,3009.49,1.5,2.5,AVOID,False
HCLTECH,1270.1,5.31,47.22,1282.88,1276.77,1329.14,1.55,1195.7,1368.0,1213.64,1270.1,1183.74,1399.64,1485.99,1572.35,1.5,2.5,AVOID,False
HINDZINC,568.4,-1.4,44.29,587.56,577.99,563.98,0.21,548.8,632.0,557.03,568.4,541.27,609.1,636.24,663.37,1.5,2.5,AVOID,False
HYUNDAI,2157.8,-0.75,46.62,2188.18,2133.58,2117.23,0.51,2095.8,2281.0,2127.24,2157.8,2074.84,2282.24,2365.2,2448.15,1.5,2.5,AVOID,False
NAUKRI,1276.0,2.01,46.21,1299.82,1253.3,1184.36,0.85,1244.8,1390.1,1263.47,1276.0,1219.39,1360.91,1417.52,1474.12,1.5,2.5,AVOID,False
LTM,4420.3,3.4,47.43,4473.61,4401.42,4609.0,1.25,4275.0,4700.0,4339.12,4420.3,4212.64,4731.79,4939.46,5147.12,1.5,2.5,AVOID,False
MPHASIS,2383.5,3.86,48.08,2398.16,2388.55,2449.61,2.14,2273.3,2546.0,2307.4,2383.5,2250.57,2582.9,2715.83,2848.77,1.5,2.5,AVOID,False
RADICO,4428.0,1.37,46.69,4485.67,4345.19,3684.39,0.47,4330.1,4747.0,4395.05,4428.0,4284.67,4642.99,4786.32,4929.65,1.5,2.5,AVOID,False
SAIL,175.76,-1.81,41.46,184.28,180.01,167.75,0.23,169.32,200.96,171.86,175.76,166.34,189.89,199.3,208.72,1.5,2.5,AVOID,False
ADANIENSOL,1362.7,-0.75,31.94,1460.19,1514.74,1327.32,0.11,1348.0,1637.0,1362.7,1362.7,1288.66,1473.75,1547.79,1621.83,1.5,2.0,AVOID,False
ADANIGREEN,1265.6,-1.23,40.88,1303.82,1345.47,1245.1,0.29,1214.9,1346.8,1233.12,1265.6,1202.75,1359.87,1422.72,1485.57,1.5,2.0,AVOID,False
ADANIPOWER,204.63,-2.54,45.27,208.34,210.33,191.62,0.37,198.0,217.4,200.97,204.63,195.9,217.72,226.45,235.17,1.5,2.0,AVOID,False
ASHOKLEY,160.12,-2.22,33.27,168.96,167.52,163.99,0.76,158.4,181.84,160.12,160.12,153.55,169.98,176.55,183.12,1.5,2.0,AVOID,False
BAJAJFINSV,1877.1,-1.9,32.16,1961.11,1944.91,1918.7,0.43,1871.5,2032.5,1877.1,1877.1,1821.77,1960.1,2015.44,2070.77,1.5,2.0,AVOID,False
BHARATFORG,1903.6,-2.12,33.48,2010.31,2047.97,1853.06,0.16,1898.2,2104.9,1903.6,1903.6,1825.57,2020.64,2098.67,2176.7,1.5,2.0,AVOID,False
CHOLAFIN,1802.6,-2.35,42.63,1844.96,1817.49,1699.72,0.96,1773.5,1925.0,1800.1,1802.6,1732.56,1907.66,1977.7,2047.74,1.5,2.0,AVOID,False
CONCOR,490.1,-1.83,39.27,506.64,503.31,501.99,0.21,488.45,524.85,490.1,490.1,472.37,516.7,534.44,552.17,1.5,2.0,AVOID,False
DLF,630.1,-2.23,34.52,664.32,657.04,651.34,0.49,626.85,691.05,630.1,630.1,603.89,669.41,695.61,721.82,1.5,2.0,AVOID,False
EXIDEIND,415.3,0.64,37.16,432.23,432.37,396.89,0.47,409.7,477.6,415.3,415.3,397.63,441.81,459.48,477.15,1.5,2.0,AVOID,False
ICICIBANK,1357.1,-1.61,32.09,1408.82,1405.81,1372.91,0.61,1351.3,1454.0,1357.1,1357.1,1323.19,1407.96,1441.87,1475.78,1.5,2.0,AVOID,False
INDIANB,842.35,-1.31,38.4,867.96,862.28,844.67,0.3,835.0,906.7,842.35,842.35,811.75,888.25,918.85,949.46,1.5,2.0,AVOID,False
JUBLFOOD,465.7,-0.97,40.98,481.24,471.79,490.02,0.25,463.05,527.85,465.7,465.7,447.0,493.76,512.46,531.16,1.5,2.0,AVOID,False
NATIONALUM,356.2,-1.33,39.23,374.75,374.79,354.13,0.49,352.35,405.0,356.2,356.2,338.27,383.1,401.04,418.97,1.5,2.0,AVOID,False
NESTLEIND,1376.2,-0.51,31.56,1426.75,1442.6,1375.1,0.7,1365.5,1514.8,1376.2,1376.2,1332.07,1442.39,1486.52,1530.65,1.5,2.0,AVOID,False
OBEROIRLTY,1694.0,-2.71,28.73,1825.26,1821.03,1721.68,0.41,1691.2,1960.7,1694.0,1694.0,1624.1,1798.85,1868.75,1938.65,1.5,2.0,AVOID,False
PATANJALI,337.4,-1.06,29.61,345.34,361.43,441.47,0.83,336.0,356.2,337.4,337.4,327.73,351.91,361.59,371.26,1.5,2.0,AVOID,False
RECLTD,313.0,0.1,33.29,322.58,335.75,350.45,0.5,310.4,341.85,313.0,313.0,303.29,327.56,337.27,346.98,1.5,2.0,AVOID,False
SHRIRAMFIN,993.0,-3.46,31.14,1058.07,1059.27,973.4,0.96,988.0,1142.0,993.0,993.0,949.4,1058.4,1102.0,1145.6,1.5,2.0,AVOID,False
SUNPHARMA,1843.1,0.17,34.94,1895.56,1902.38,1819.09,0.33,1828.0,1984.8,1843.1,1843.1,1794.73,1915.65,1964.02,2012.39,1.5,2.0,AVOID,False
SUPREMEIND,3335.5,-0.86,36.17,3503.96,3501.52,3645.02,0.34,3335.4,3710.0,3335.5,3335.5,3203.98,3532.77,3664.29,3795.81,1.5,2.0,AVOID,False
UPL,565.75,-1.26,42.53,575.35,584.78,632.72,0.39,557.95,591.0,565.75,565.75,549.53,590.09,606.31,622.53,1.5,2.0,AVOID,False
UNITDSPR,1385.4,-0.69,27.74,1460.11,1455.22,1388.31,0.23,1378.4,1563.4,1385.4,1385.4,1341.1,1451.86,1496.16,1540.47,1.5,2.0,AVOID,False
ZYDUSLIFE,1112.8,-0.56,44.27,1135.75,1125.43,1046.22,0.26,1092.6,1198.9,1108.99,1112.8,1068.17,1179.74,1224.37,1269.0,1.5,2.0,AVOID,False
ALKEM,5272.5,3.64,45.93,5284.23,5395.35,5477.81,1.22,5051.0,5510.0,5126.76,5272.5,5000.49,5680.52,5952.53,6224.54,1.5,1.5,AVOID,False
COLPAL,1844.4,2.61,42.47,1863.7,1936.1,2059.0,0.79,1782.1,1958.9,1808.83,1844.4,1764.28,1964.58,2044.7,2124.82,1.5,1.5,AVOID,False
HEROMOTOCO,5280.5,1.13,42.65,5399.6,5364.85,5318.16,0.64,5167.0,5778.0,5244.5,5280.5,5101.64,5548.79,5727.66,5906.52,1.5,1.5,AVOID,False
INFY,1077.2,3.81,43.53,1100.5,1116.7,1241.57,1.29,1026.5,1156.0,1041.9,1077.2,1016.24,1168.65,1229.61,1290.58,1.5,1.5,AVOID,False
JINDALSTEL,1100.0,-1.83,42.02,1135.17,1123.46,1121.15,0.39,1058.0,1196.4,1073.87,1100.0,1047.42,1178.87,1231.45,1284.03,1.5,1.5,AVOID,False
KPITTECH,572.35,3.36,44.9,578.28,603.41,777.55,2.16,545.6,613.45,553.78,572.35,540.14,620.66,652.86,685.07,1.5,1.5,AVOID,False
ONGC,234.97,1.06,46.76,235.73,240.55,251.44,0.74,230.79,243.16,234.25,234.97,228.35,244.9,251.52,258.14,1.5,1.5,AVOID,False
SBICARD,627.7,-4.2,41.77,649.56,643.92,697.57,0.3,610.0,675.0,619.15,627.7,599.51,669.99,698.18,726.38,1.5,1.5,AVOID,False
TATAELXSI,3478.9,2.83,41.23,3554.01,3671.12,4270.4,1.86,3370.0,3777.6,3420.55,3478.9,3336.3,3692.8,3835.4,3978.0,1.5,1.5,AVOID,False
TMPV,308.1,2.32,39.66,313.25,326.31,380.83,1.75,296.5,331.7,300.95,308.1,293.54,329.95,344.51,359.08,1.5,1.5,AVOID,False
360ONE,1063.1,-2.56,30.2,1138.81,1140.18,1112.36,0.52,1056.7,1222.9,1063.1,1063.1,1016.24,1133.38,1180.24,1227.1,1.5,1.0,AVOID,False
ATGL,587.05,-1.3,22.04,623.31,647.73,635.2,0.29,585.9,687.9,587.05,587.05,564.43,620.99,643.61,666.24,1.5,1.0,AVOID,False
AMBUJACEM,384.45,-1.89,26.94,404.05,415.68,458.7,0.45,384.0,422.8,384.45,384.45,373.05,401.54,412.94,424.34,1.5,1.0,AVOID,False
ASIANPAINT,2427.5,-1.82,24.72,2557.52,2616.27,2590.91,0.45,2425.7,2678.7,2427.5,2427.5,2356.61,2533.83,2604.72,2675.61,1.5,1.0,AVOID,False
ASTRAL,1382.0,-2.08,29.68,1478.39,1479.33,1493.63,0.3,1381.4,1581.0,1382.0,1382.0,1329.28,1461.08,1513.8,1566.53,1.5,1.0,AVOID,False
BANKBARODA,234.75,-1.42,38.27,239.89,246.1,261.23,0.6,234.05,247.28,234.75,234.75,228.21,244.57,251.11,257.65,1.5,1.0,AVOID,False
BANKINDIA,138.26,-1.24,38.21,141.99,142.51,142.47,0.52,137.26,147.9,138.26,138.26,133.8,144.94,149.4,153.85,1.5,1.0,AVOID,False
BDL,1141.6,-4.07,24.64,1260.2,1287.38,1349.77,0.52,1141.0,1427.7,1141.6,1141.6,1085.16,1226.25,1282.69,1339.12,1.5,1.0,AVOID,False
BEL,390.45,-3.44,34.56,405.69,407.62,414.06,1.06,387.6,416.35,390.45,390.45,379.09,407.49,418.86,430.22,1.5,1.0,AVOID,False
BHARTIARTL,1834.3,0.17,41.44,1869.98,1891.43,1908.9,0.44,1811.9,1959.7,1834.3,1834.3,1786.11,1906.59,1954.79,2002.98,1.5,1.0,AVOID,False
BIOCON,387.7,-0.76,29.93,402.73,410.87,398.59,0.35,384.65,421.6,387.7,387.7,374.68,407.23,420.26,433.28,1.5,1.0,AVOID,False
BLUESTARCO,1506.9,-3.28,48.2,1507.18,1555.07,1686.79,0.53,1432.3,1565.1,1453.78,1506.9,1417.98,1640.28,1729.21,1818.13,1.5,1.0,AVOID,False
BRITANNIA,4978.0,0.32,29.84,5182.53,5298.23,5556.87,0.42,4945.0,5561.0,4978.0,4978.0,4833.88,5194.18,5338.3,5482.41,1.5,1.0,AVOID,False
CANBK,123.13,-0.7,36.14,126.08,127.63,131.38,0.65,122.65,131.43,123.13,123.13,119.58,128.46,132.02,135.57,1.5,1.0,AVOID,False
CIPLA,1354.2,-0.86,31.4,1400.72,1414.4,1414.32,0.69,1347.7,1449.0,1354.2,1354.2,1320.58,1404.63,1438.26,1471.88,1.5,1.0,AVOID,False
COROMANDEL,1938.9,0.51,43.22,1962.75,1986.71,2053.02,0.32,1890.0,2104.8,1918.35,1938.9,1871.1,2040.6,2108.4,2176.2,1.5,1.0,AVOID,False
CUMMINSIND,4953.5,-2.3,32.5,5159.5,5292.09,5046.27,0.37,4944.0,5484.0,4953.5,4953.5,4774.18,5222.48,5401.8,5581.12,1.5,1.0,AVOID,False
DRREDDY,1152.8,-1.09,43.44,1163.91,1191.53,1243.54,1.05,1130.0,1197.2,1146.95,1152.8,1118.7,1203.95,1238.05,1272.15,1.5,1.0,AVOID,False
FORTIS,889.0,0.14,38.57,911.4,925.46,932.43,0.49,884.1,941.9,889.0,889.0,861.49,930.27,957.78,985.29,1.5,1.0,AVOID,False
GMRAIRPORT,94.41,-3.64,35.8,98.28,101.32,99.95,0.43,92.6,103.45,93.99,94.41,90.71,99.97,103.67,107.38,1.5,1.0,AVOID,False
GODFRYPHLP,1926.1,-0.05,28.8,2051.25,2113.22,2333.25,0.49,1921.2,2167.7,1926.1,1926.1,1852.85,2035.98,2109.23,2182.49,1.5,1.0,AVOID,False
GODREJCP,871.1,0.71,29.33,904.26,958.99,1059.81,0.49,855.15,948.0,867.98,871.1,842.08,914.63,943.65,972.67,1.5,1.0,AVOID,False
GODREJPROP,1677.0,-4.06,22.49,1928.72,1963.25,1915.82,0.9,1667.0,2095.0,1677.0,1677.0,1576.35,1827.97,1928.62,2029.27,1.5,1.0,AVOID,False
HAVELLS,1088.9,-1.99,20.05,1187.89,1214.08,1289.45,0.43,1088.0,1315.0,1088.9,1088.9,1047.14,1151.54,1193.31,1235.07,1.5,1.0,AVOID,False
HUDCO,170.38,-1.38,21.48,181.03,189.56,201.43,0.41,170.2,192.0,170.38,170.38,163.99,179.97,186.36,192.75,1.5,1.0,AVOID,False
ICICIGI,1435.0,-1.7,16.8,1539.46,1615.27,1759.19,0.48,1431.9,1650.0,1435.0,1435.0,1387.88,1505.68,1552.81,1599.93,1.5,1.0,AVOID,False
IOC,133.74,-1.01,37.82,136.78,138.73,145.41,0.84,133.02,141.15,133.74,133.74,130.09,139.22,142.87,146.52,1.5,1.0,AVOID,False
IRCTC,460.75,-0.46,26.77,479.13,492.8,554.68,0.48,460.5,502.75,460.75,460.75,449.81,477.16,488.1,499.04,1.5,1.0,AVOID,False
IRFC,80.11,-1.21,22.76,83.57,86.89,99.51,0.59,80.05,87.56,80.11,80.11,77.93,83.38,85.55,87.73,1.5,1.0,AVOID,False
IREDA,110.02,-1.51,32.54,114.35,117.76,127.0,0.5,110.01,121.14,110.02,110.02,106.81,114.84,118.05,121.26,1.5,1.0,AVOID,False
INDIGO,4880.5,-1.86,33.83,5071.87,5099.46,5030.22,0.38,4822.0,5332.5,4880.5,4880.5,4715.54,5127.94,5292.9,5457.86,1.5,1.0,AVOID,False
JSWENERGY,514.25,-2.32,34.73,535.5,544.68,536.41,0.24,511.4,556.6,514.25,514.25,496.34,541.12,559.03,576.94,1.5,1.0,AVOID,False
JIOFIN,229.28,-0.27,33.33,237.8,241.19,255.16,0.73,226.44,249.9,229.28,229.28,222.39,239.61,246.5,253.38,1.5,1.0,AVOID,False
KEI,4509.0,-1.51,27.6,5058.48,5197.84,4896.35,0.35,4447.0,5899.0,4509.0,4509.0,4238.56,4914.65,5185.09,5455.52,1.5,1.0,AVOID,False
LT,3872.2,-1.49,35.43,3979.27,3990.1,3944.3,0.84,3835.7,4125.3,3872.2,3872.2,3778.94,4012.08,4105.34,4198.6,1.5,1.0,AVOID,False
LUPIN,2075.0,-0.95,25.79,2155.98,2240.87,2245.41,0.49,2058.0,2255.0,2075.0,2075.0,2015.12,2164.82,2224.7,2284.58,1.5,1.0,AVOID,False
M&M,3092.0,-0.48,28.58,3227.57,3251.8,3296.98,0.68,3069.1,3456.4,3092.0,3092.0,2997.7,3233.45,3327.74,3422.04,1.5,1.0,AVOID,False
MARICO,800.9,-0.15,33.75,827.09,835.91,802.49,0.47,795.5,867.35,800.9,800.9,777.67,835.75,858.98,882.22,1.5,1.0,AVOID,False
MFSL,1448.4,-1.94,35.53,1520.03,1545.76,1599.12,0.31,1445.4,1604.9,1448.4,1448.4,1391.74,1533.39,1590.05,1646.71,1.5,1.0,AVOID,False
MAZDOCK,2273.0,-2.82,26.24,2453.9,2465.97,2517.01,0.59,2271.2,2656.8,2273.0,2273.0,2181.97,2409.55,2500.58,2591.61,1.5,1.0,AVOID,False
MUTHOOTFIN,2750.2,-1.5,34.74,2911.88,2980.51,3183.6,0.22,2728.6,3246.5,2750.2,2750.2,2629.3,2931.56,3052.46,3173.36,1.5,1.0,AVOID,False
NHPC,75.91,-0.62,44.49,76.45,77.16,78.82,0.52,74.3,77.89,75.41,75.91,73.56,79.44,81.79,84.15,1.5,1.0,AVOID,False
NMDC,81.55,-1.03,38.6,84.64,85.16,83.73,0.44,81.25,89.1,81.55,81.55,78.61,85.96,88.9,91.85,1.5,1.0,AVOID,False
NTPC,328.55,-1.45,37.65,334.03,341.47,352.74,0.49,321.0,344.45,325.81,328.55,317.79,344.69,355.45,366.21,1.5,1.0,AVOID,False
PHOENIXLTD,1874.1,-0.84,40.2,1910.02,1920.03,1823.3,0.55,1825.1,1971.0,1852.48,1874.1,1806.85,1974.98,2042.23,2109.48,1.5,1.0,AVOID,False
POLYCAB,8207.0,-0.41,31.18,8683.08,8930.88,8531.57,0.35,8118.0,9445.0,8207.0,8207.0,7886.45,8687.83,9008.38,9328.93,1.5,1.0,AVOID,False
PFC,347.65,-1.64,34.38,359.54,380.48,401.66,0.57,336.3,376.55,341.34,347.65,332.94,369.72,384.43,399.15,1.5,1.0,AVOID,False
